model_name,release_date,display,battery,camera,ram,storage,price,source_url
Samsung Galaxy A07,"2026, January 13","Li-Ion 6000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",Li-Ion 6000 mAh,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",4GB,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","₹ 15,998",https://www.gsmarena.com/samsung_galaxy_a07_5g-14409.php
Samsung Galaxy A07 4G,"2025, August 25","5000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",5000 mAh,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",4GB,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM",$ 111.00 / £ 67.90,https://www.gsmarena.com/samsung_galaxy_a07-14066.php
Samsung Galaxy A17,"2025, August 06","5000 mAh | 6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",5000 mAh,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM","$ 99.88 / € 144.10 / £ 119.99 / ₹ 18,999",https://www.gsmarena.com/samsung_galaxy_a17_5g-14041.php
Samsung Galaxy A17 4G,"2025, September 18","5000 mAh | 6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",5000 mAh,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",$ 150.00 / € 137.00 / £ 107.49,https://www.gsmarena.com/samsung_galaxy_a17-14157.php
Samsung Galaxy F07,"2025, October 04","5000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",5000 mAh,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",4GB,64GB 4GB RAM,"£ 189.99 / ₹ 8,399",https://www.gsmarena.com/samsung_galaxy_f07-14205.php
Samsung Galaxy F17,"2025, September 11","Li-Ion 5000 mAh | 6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",Li-Ion 5000 mAh,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","₹ 13,795",https://www.gsmarena.com/samsung_galaxy_f17_5g-14107.php
Samsung Galaxy F36,"2025, July 21","5000 mAh | 6.7 inches, 109.1 cm 2 (~85.2% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~387 ppi density)",5000 mAh,"13 MP, f/2.2, (wide), 1/3.06"", 1.12µm",6GB,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","₹ 16,499",https://www.gsmarena.com/samsung_galaxy_f36_5g-14009.php
Samsung Galaxy F70e,"2026, February 09","Li-Ion 6000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",Li-Ion 6000 mAh,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM","₹ 13,899",https://www.gsmarena.com/samsung_galaxy_f70e_5g-14459.php
Samsung Galaxy M07,"2025, October 01","5000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",5000 mAh,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",4GB,64GB 4GB RAM,"₹ 7,499",https://www.gsmarena.com/samsung_galaxy_m07-14100.php
Samsung Galaxy M17,"2025, October 10","5000 mAh | 6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",5000 mAh,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 120 EUR,https://www.gsmarena.com/samsung_galaxy_m17_5g-14221.php
Samsung Galaxy S25 FE,"2025, September 04","4900 mAh | 6.7 inches, 110.2 cm 2 (~89.2% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",4900 mAh,"12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm",8GB,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","$ 649.99 / € 479.99 / £ 479.99 / ₹ 53,390",https://www.gsmarena.com/samsung_galaxy_s25_fe_5g-14042.php
Samsung Galaxy S26,"2026, February 25","Li-Ion 4300 mAh | 6.3 inches, 96.5 cm 2 (~90.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~411 ppi density)",Li-Ion 4300 mAh,"12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm, dual pixel PDAF",12GB,"256GB 12GB RAM, 512GB 12GB RAM",$ 899.99 / € 999.00 / £ 879.00,https://www.gsmarena.com/samsung_galaxy_s26_5g-14456.php
